GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021900002,1610612747,LAL,Los Angeles,201580,,C,,17.0,2,3,0,0,0,0,1,1,2,0,0,2,1,0,4,0
0021900002,1610612747,LAL,Los Angeles,201980,,G,,32.0,10,14,7,9,1,1,1,6,7,0,2,1,0,3,28,0
0021900002,1610612747,LAL,Los Angeles,202340,,G,,24.0,3,7,2,5,0,0,0,3,3,0,0,0,2,3,8,0
0021900002,1610612747,LAL,Los Angeles,203484,,,,27.0,0,3,0,2,0,0,0,3,3,3,0,0,1,5,0,0
0021900002,1610612747,LAL,Los Angeles,2730,,,,19.0,1,3,0,0,1,1,3,3,6,1,0,1,0,4,3,0
0021900002,1610612747,LAL,Los Angeles,203584,,,,16.0,2,6,1,5,1,1,0,0,0,1,0,0,1,1,6,0
0021900002,1610612747,LAL,Los Angeles,1626188,,,,16.0,2,7,0,3,0,0,0,1,1,2,0,0,1,0,4,0
0021900002,1610612747,LAL,Los Angeles,201162,,,,13.0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,6,0
0021900002,1610612747,LAL,Los Angeles,1628961,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900002,1610612747,LAL,Los Angeles,1627936,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900002,1610612747,LAL,Los Angeles,1629668,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612766,CHA,Charlotte,1628970,,F,,31.0,4,7,0,2,0,0,0,5,5,3,0,3,3,0,8,0
0021900003,1610612766,CHA,Charlotte,1629023,,F,,37.0,9,17,7,11,2,2,1,3,4,1,1,1,4,2,27,0
0021900003,1610612766,CHA,Charlotte,203469,,C,,35.0,6,11,0,2,3,4,4,8,12,1,0,0,1,4,15,0
0021900003,1610612766,CHA,Charlotte,1628407,,G,,33.0,8,21,2,8,4,6,1,4,5,3,2,0,2,2,22,0
0021900003,1610612766,CHA,Charlotte,1626179,,G,,30.0,2,10,2,6,1,1,1,3,4,6,0,0,4,1,7,0
0021900003,1610612766,CHA,Charlotte,1628984,,,,27.0,7,9,6,7,3,3,1,3,4,8,0,0,1,3,23,0
0021900003,1610612766,CHA,Charlotte,101107,,,,16.0,6,9,5,7,0,0,0,2,2,1,0,0,0,1,17,0
0021900003,1610612766,CHA,Charlotte,201587,,,,11.0,0,0,0,0,0,0,1,3,4,2,0,0,2,2,0,0
0021900003,1610612766,CHA,Charlotte,1628370,,,,16.0,3,4,1,1,0,0,0,1,1,3,0,0,2,3,7,0
0021900003,1610612766,CHA,Charlotte,202687,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612766,CHA,Charlotte,1626195,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612766,CHA,Charlotte,203077,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612766,CHA,Charlotte,1628997,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612741,CHI,Chicago,203490,,F,,27.0,3,10,1,5,2,2,0,2,2,1,2,1,0,2,9,0
0021900003,1610612741,CHI,Chicago,1628374,,F,,34.0,13,25,1,7,8,10,5,12,17,2,1,0,1,1,35,0
0021900003,1610612741,CHI,Chicago,1628976,,C,,29.0,5,11,0,0,2,2,5,4,9,0,0,1,1,4,12,0
0021900003,1610612741,CHI,Chicago,203897,,G,,30.0,7,17,1,4,1,1,3,3,6,7,2,1,5,3,16,0
0021900003,1610612741,CHI,Chicago,203107,,G,,24.0,1,5,0,0,0,0,0,0,0,3,0,1,0,2,2,0
0021900003,1610612741,CHI,Chicago,1628436,,,,6.0,0,3,0,1,0,0,2,2,4,0,0,0,1,1,0,0
0021900003,1610612741,CHI,Chicago,1629632,,,,27.0,6,13,1,4,4,5,0,3,3,7,0,0,1,2,17,0
0021900003,1610612741,CHI,Chicago,201152,,,,25.0,7,11,3,5,0,0,1,2,3,2,1,0,1,1,17,0
0021900003,1610612741,CHI,Chicago,1627739,,,,23.0,5,7,0,2,1,2,1,1,2,2,4,0,0,3,11,0
0021900003,1610612741,CHI,Chicago,1627853,,,,10.0,2,3,2,2,0,0,3,0,3,1,1,0,0,1,6,0
0021900003,1610612741,CHI,Chicago,1629655,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612741,CHI,Chicago,1627885,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900003,1610612741,CHI,Chicago,1627756,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900004,1610612754,IND,Indiana,203933,,F,,33.0,5,12,0,2,0,2,1,0,1,0,0,1,1,3,10,0
